"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"歪みの預言者/Prophet of Distortion （ゆがみのよげんしゃ） ","(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）(３)(◇)：カードを１枚引く。（(◇)は無色マナを表す。）","Devoid （This card has no color.）{3}{C}: Draw a card. （{C} represents colorless mana.）",1/2,-,,"Lius Lasahido","アンコモン, ゲートウォッチの誓い (46/184) ",-
"空間の擦り抜け/Slip Through Space （くうかんのすりぬけ） ","(青)","ソーサリー ","欠色（このカードは無色である。）クリーチャー１体を対象とする。このターン、それはブロックされない。カードを１枚引く。","Devoid （This card has no color.）Target creature can't be blocked this turn.Draw a card.",-,-,,"Raymond Swanland","コモン, ゲートウォッチの誓い (47/184) ",-
"思考刈り/Thought Harvester （しこうがり） ","(３)(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）飛行あなたが無色の呪文を１つ唱えるたび、対戦相手１人を対象とする。そのプレイヤーは自分のライブラリーの一番上のカードを追放する。","Devoid （This card has no color.）FlyingWhenever you cast a colorless spell, target opponent exiles the top card of his or her library.",2/4,-,,"Winona Nelson","アンコモン, ゲートウォッチの誓い (48/184) ",-
"虚空の粉砕/Void Shatter （こくうのふんさい） ","(１)(青)(青)","インスタント ","欠色（このカードは無色である。）呪文１つを対象とし、それを打ち消す。これによりその呪文が打ち消されたなら、それをオーナーの墓地に置く代わりに追放する。","Devoid （This card has no color.）Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",-,-,,"Jason Felix","アンコモン, ゲートウォッチの誓い (49/184) ",-
"古代ガニ/Ancient Crab （こだいがに） ","(１)(青)(青)","クリーチャー — カニ(Crab) ",,,1/5,-,,"Steve Prescott","コモン, ゲートウォッチの誓い (50/184) ",-
"比較分析/Comparative Analysis （ひかくぶんせき） ","(３)(青)","インスタント ","怒涛(２)(青)（あなたかチームメイトがこのターンに他の呪文を唱えていたなら、あなたはこの呪文を怒涛コストで唱えてもよい。）プレイヤー１人を対象とする。そのプレイヤーはカードを２枚引く。","Surge {2}{U} （You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.）Target player draws two cards.",-,-,,"Willian Murai","コモン, ゲートウォッチの誓い (51/184) ",-
"封止の被膜/Containment Membrane （ふうしのひまく） ","(２)(青)","エンチャント — オーラ(Aura) ","怒涛(青)（あなたかチームメイトがこのターンに他の呪文を唱えていたなら、あなたはこの呪文を怒涛コストで唱えてもよい。）エンチャント（クリーチャー）エンチャントされているクリーチャーは、それのコントローラーのアンタップ・ステップにアンタップしない。","Surge {U} （You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.）Enchant creatureEnchanted creature doesn't untap during its controller's untap step.",-,-,,Daarken,"コモン, ゲートウォッチの誓い (52/184) ",-
"押し潰す触手/Crush of Tentacles （おしつぶすしょくしゅ） ","(４)(青)(青)","ソーサリー ","怒涛(３)(青)(青)（あなたかチームメイトがこのターンに他の呪文を唱えていたなら、あなたはこの呪文を怒涛コストで唱えてもよい。）すべての土地でないパーマネントをオーナーの手札に戻す。押し潰す触手の怒涛コストが支払われていたなら、青の8/8のタコ(Octopus)・クリーチャー・トークンを１体戦場に出す。","Surge {3}{U}{U} （You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.）Return all nonland permanents to their owners' hands. If Crush of Tentacles's surge cost was paid, put an 8/8 blue Octopus creature token onto the battlefield.",-,-,,"Jama Jurabaev","神話レア, ゲートウォッチの誓い (53/184) ",-
"竜巻の種父/Cyclone Sire （たつまきのしゅふ） ","(４)(青)","クリーチャー — エレメンタル(Elemental) ","飛行竜巻の種父が死亡したとき、あなたがコントロールする土地１つを対象とする。あなたはそれの上に+1/+1カウンターを３個置いてもよい。そうしたなら、その土地は速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。","FlyingWhen Cyclone Sire dies, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land.",3/4,-,,"Igor Kieryluk","アンコモン, ゲートウォッチの誓い (54/184) ",-
"牙の贈り物/Gift of Tusks （きばのおくりもの） ","(青)","インスタント ","クリーチャー１体を対象とする。ターン終了時まで、それはすべての能力を失うとともに基本のパワーとタフネスが3/3の緑の象(Elephant)になる。","Until end of turn, target creature loses all abilities and becomes a green Elephant with base power and toughness 3/3.",-,-,,"Kev Walker","アンコモン, ゲートウォッチの誓い (55/184) ",-
"乱動の握撃/Grip of the Roil （らんどうのあくげき） ","(２)(青)","インスタント ","怒涛(１)(青)（あなたかチームメイトがこのターンに他の呪文を唱えていたなら、あなたはこの呪文を怒涛コストで唱えてもよい。）クリーチャー１体を対象とし、それをタップする。それは、それのコントローラーの次のアンタップ・ステップにアンタップしない。カードを１枚引く。","Surge {1}{U} （You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.）Tap target creature. It doesn't untap during its controller's next untap step.Draw a card.",-,-,,"Volkan Baga","アンコモン, ゲートウォッチの誓い (56/184) ",-
"面晶体の連結/Hedron Alignment （めんしょうたいのれんけつ） ","(２)(青)","エンチャント ","呪禁あなたのアップキープの開始時に、あなたはあなたの手札を公開してもよい。そうしたなら、あなたがオーナーである《面晶体の連結/Hedron Alignment》という名前のカードが追放領域とあなたの手札とあなたの墓地と戦場のいずれにもあるなら、あなたはこのゲームに勝利する。(１)(青)：占術１を行う。","HexproofAt the beginning of your upkeep, you may reveal your hand. If you do, you win the game if you own a card named Hedron Alignment in exile, in your hand, in your graveyard, and on the battlefield.{1}{U}: Scry 1.",-,-,,"Craig J Spearing","レア, ゲートウォッチの誓い (57/184) ",-
"ジュワー島の報復者/Jwar Isle Avenger （じゅわーとうのほうふくしゃ） ","(４)(青)","クリーチャー — スフィンクス(Sphinx) ","怒涛(２)(青)（あなたかチームメイトがこのターンに他の呪文を唱えていたなら、あなたはこの呪文を怒涛コストで唱えてもよい。）飛行","Surge {2}{U} （You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.）Flying",3/3,-,,"Ryan Pancoast","コモン, ゲートウォッチの誓い (58/184) ",-
"否認/Negate （ひにん） ","(１)(青)","インスタント ","クリーチャーでない呪文１つを対象とし、それを打ち消す。","Counter target noncreature spell.",-,-,,"Ryan Pancoast","コモン, ゲートウォッチの誓い (59/184) ","OGW ORI DTK M15 M14 M13 M12 M11 M10 MOR "
"ジェイスの誓い/Oath of Jace （じぇいすのちかい） ","(２)(青)","伝説のエンチャント ","ジェイスの誓いが戦場に出たとき、カードを３枚引き、その後カードを２枚捨てる。あなたのアップキープの開始時に、占術Ｘを行う。Ｘは、あなたがコントロールするプレインズウォーカーの総数に等しい。","When Oath of Jace enters the battlefield, draw three cards, then discard two cards.At the beginning of your upkeep, scry X, where X is the number of planeswalkers you control.",-,-,,"Wesley Burt","レア, ゲートウォッチの誓い (60/184) ",-
"圧倒的な否定/Overwhelming Denial （あっとうてきなひてい） ","(２)(青)(青)","インスタント ","怒涛(青)(青)（あなたかチームメイトがこのターンに他の呪文を唱えていたなら、あなたはこの呪文を怒涛コストで唱えてもよい。）圧倒的な否定は呪文や能力によっては打ち消されない。呪文１つを対象とし、それを打ち消す。","Surge {U}{U} （You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.）Overwhelming Denial can't be countered by spells or abilities.Counter target spell.",-,-,,"Jama Jurabaev","レア, ゲートウォッチの誓い (61/184) ",-
"水脈の乱動/Roiling Waters （すいみゃくのらんどう） ","(５)(青)(青)","ソーサリー ","対戦相手がコントロールするクリーチャーを最大２体と、プレイヤー１人を対象とする。それらのクリーチャーをオーナーの手札に戻す。その対象になったプレイヤーはカードを２枚引く。","Return up to two target creatures your opponents control to their owners' hands. Target player draws two cards.",-,-,,"David Gaillet","アンコモン, ゲートウォッチの誓い (62/184) ",-
"終止符のスフィンクス/Sphinx of the Final Word （しゅうしふのすふぃんくす） ","(５)(青)(青)","クリーチャー — スフィンクス(Sphinx) ","終止符のスフィンクスは打ち消されない。飛行、呪禁あなたがコントロールするインスタント呪文とソーサリー呪文は、呪文や能力によっては打ち消されない。","Sphinx of the Final Word can't be countered.Flying, hexproofInstant and sorcery spells you control can't be countered by spells or abilities.",5/5,-,,"Lius Lasahido","神話レア, ゲートウォッチの誓い (63/184) ",-
"掃き飛ばし/Sweep Away （はきとばし） ","(２)(青)","インスタント ","クリーチャー１体を対象とし、それをオーナーの手札に戻す。そのクリーチャーが攻撃しているなら、あなたは代わりにそれをオーナーのライブラリーの一番上に置いてもよい。","Return target creature to its owner's hand. If that creature is attacking, you may put it on top of its owner's library instead.",-,-,,"Winona Nelson","コモン, ゲートウォッチの誓い (64/184) ",-
"ウマーラの絡め捕り/Umara Entangler （うまーらのからめとり） ","(１)(青)","クリーチャー — マーフォーク(Merfolk)・ならず者(Rogue)・同盟者(Ally) ","果敢（あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、このクリーチャーは+1/+1の修整を受ける。）","Prowess （Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.）",2/1,-,,"James Ryman","コモン, ゲートウォッチの誓い (65/184) ",-
"一致団結/Unity of Purpose （いっちだんけつ） ","(３)(青)","インスタント ","支援２を行う。（クリーチャーを最大２体対象とし、それらの上に+1/+1カウンターをそれぞれ１個置く。）あなたがコントロールする、+1/+1カウンターが置かれている各クリーチャーをそれぞれアンタップする。","Support 2. （Put a +1/+1 counter on each of up to two target creatures.）Untap each creature you control with a +1/+1 counter on it.",-,-,,"Jason Felix","アンコモン, ゲートウォッチの誓い (66/184) ",-
"静寂を担うもの/Bearer of Silence （せいじゃくをになうもの） ","(１)(黒)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）あなたが静寂を担うものを唱えたとき、対戦相手１人を対象とする。あなたは(１)(◇)を支払ってもよい。そうしたなら、そのプレイヤーはクリーチャーを１体生け贄に捧げる。（(◇)は無色マナを表す。）飛行静寂を担うものではブロックできない。","Devoid （This card has no color.）When you cast Bearer of Silence, you may pay {1}{C}. If you do, target opponent sacrifices a creature. （{C} represents colorless mana.）FlyingBearer of Silence can't block.",2/1,-,,"Tyler Jacobson","レア, ゲートウォッチの誓い (67/184) ",-
"戦慄の汚染者/Dread Defiler （せんりつのおせんしゃ） ","(６)(黒)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）(３)(◇),あなたの墓地からクリーチャー・カードを１枚追放する：対戦相手１人を対象とする。そのプレイヤーはその追放したカードのパワーに等しい点数のライフを失う。（(◇)は無色マナを表す。）","Devoid （This card has no color.）{3}{C}, Exile a creature card from your graveyard: Target opponent loses life equal to the exiled card's power. （{C} represents colorless mana.）",6/8,-,,"Slawomir Maniak","レア, ゲートウォッチの誓い (68/184) ",-
"本質を蝕むもの/Essence Depleter （ほんしつをむしばむもの） ","(２)(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）(１)(◇)：対戦相手１人を対象とする。そのプレイヤーは１点のライフを失い、あなたは１点のライフを得る。（(◇)は無色マナを表す。）","Devoid （This card has no color.）{1}{C}: Target opponent loses 1 life and you gain 1 life. （{C} represents colorless mana.）",2/3,-,,"Chase Stone","アンコモン, ゲートウォッチの誓い (69/184) ",-
"鞭打つ触手/Flaying Tendrils （むちうつしょくしゅ） ","(１)(黒)(黒)","ソーサリー ","欠色（このカードは無色である。）ターン終了時まで、すべてのクリーチャーは-2/-2の修整を受ける。このターンにクリーチャーが死亡するなら、代わりにそれを追放する。","Devoid （This card has no color.）All creatures get -2/-2 until end of turn. If a creature would die this turn, exile it instead.",-,-,,"Slawomir Maniak","アンコモン, ゲートウォッチの誓い (70/184) ",-
"惨状蒔き/Havoc Sower （さんじょうまき） ","(３)(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）(１)(◇)：ターン終了時まで、惨状蒔きは+2/+1の修整を受ける。（(◇)は無色マナを表す。）","Devoid （This card has no color.）{1}{C}: Havoc Sower gets +2/+1 until end of turn. （{C} represents colorless mana.）",3/3,-,,"Svetlin Velinov","アンコモン, ゲートウォッチの誓い (71/184) ",-
"真実を覆すもの/Inverter of Truth （しんじつをくつがえすもの） ","(２)(黒)(黒)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）飛行真実を覆すものが戦場に出たとき、あなたのライブラリーからすべてのカードを裏向きに追放し、その後あなたの墓地からすべてのカードをあなたのライブラリーに加えて切り直す。","Devoid （This card has no color.）FlyingWhen Inverter of Truth enters the battlefield, exile all cards from your library face down, then shuffle all cards from your graveyard into your library.",6/6,-,,"Chase Stone","神話レア, ゲートウォッチの誓い (72/184) ",-
"コジレックの叫び手/Kozilek's Shrieker （こじれっくのさけびて） ","(２)(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）(◇)：ターン終了時まで、コジレックの叫び手は+1/+0の修整を受けるとともに威迫を得る。（これは２体以上のクリーチャーによってしかブロックされない。(◇)は無色マナを表す。）","Devoid （This card has no color.）{C}: Kozilek's Shrieker gets +1/+0 and gains menace until end of turn. （It can't be blocked except by two or more creatures. {C} represents colorless mana.）",3/2,-,,"Jason Felix","コモン, ゲートウォッチの誓い (73/184) ",-
"コジレックの組み換え/Kozilek's Translator （こじれっくのくみかえ） ","(４)(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）ライフを１点支払う：あなたのマナ・プールに(◇)を加える。この能力は、毎ターン１回のみ起動できる。（(◇)は無色マナを表す。）","Devoid （This card has no color.）Pay 1 life: Add {C} to your mana pool. Activate this ability only once each turn. （{C} represents colorless mana.）",3/5,-,,Izzy,"コモン, ゲートウォッチの誓い (74/184) ",-
"忘却の一撃/Oblivion Strike （ぼうきゃくのいちげき） ","(３)(黒)","ソーサリー ","欠色（このカードは無色である。）クリーチャー１体を対象とし、それを追放する。","Devoid （This card has no color.）Exile target creature.",-,-,,"Daniel Ljunggren","コモン, ゲートウォッチの誓い (75/184) ",-
"搾取ドローン/Reaver Drone （さくしゅどろーん） ","(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）あなたのアップキープの開始時に、あなたが他の無色のクリーチャーをコントロールしていないかぎり、あなたは１点のライフを失う。","Devoid （This card has no color.）At the beginning of your upkeep, you lose 1 life unless you control another colorless creature.",2/1,-,,"Chris Rallis","アンコモン, ゲートウォッチの誓い (76/184) ",-
"頭蓋ふるい/Sifter of Skulls （ずがいふるい） ","(３)(黒)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）あなたがコントロールするトークンでないクリーチャーが１体死亡するたび、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。（(◇)は無色マナを表す。）","Devoid （This card has no color.）Whenever another nontoken creature you control dies, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {C} to your mana pool."" （{C} represents colorless mana.）",4/3,-,,"Slawomir Maniak","レア, ゲートウォッチの誓い (77/184) ",-
"空の探索者/Sky Scourer （そらのたんさくしゃ） ","(１)(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）飛行あなたが無色の呪文を１つ唱えるたび、ターン終了時まで、空の探索者は+1/+0の修整を受ける。","Devoid （This card has no color.）FlyingWhenever you cast a colorless spell, Sky Scourer gets +1/+0 until end of turn.",1/2,-,,"Winona Nelson","コモン, ゲートウォッチの誓い (78/184) ",-
"殺戮ドローン/Slaughter Drone （さつりくどろーん） ","(１)(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）(◇)：ターン終了時まで、殺戮ドローンは接死を得る。（これが何らかのダメージをクリーチャーに与えたら、それだけで破壊する。(◇)は無色マナを表す。）","Devoid （This card has no color.）{C}: Slaughter Drone gains deathtouch until end of turn. （Any amount of damage it deals to a creature is enough to destroy it. {C} represents colorless mana.）",2/2,-,,"Dan Scott","コモン, ゲートウォッチの誓い (79/184) ",-
"異常な忍耐/Unnatural Endurance （いじょうなにんたい） ","(黒)","インスタント ","欠色（このカードは無色である。）クリーチャー１体を対象とする。ターン終了時まで、それは+2/+0の修整を受ける。それを再生する。","Devoid （This card has no color.）Target creature gets +2/+0 until end of turn. Regenerate it.",-,-,,"Mathias Kollros","コモン, ゲートウォッチの誓い (80/184) ",-
"粗暴な幻視/Visions of Brutality （そぼうなげんし） ","(１)(黒)","エンチャント — オーラ(Aura) ","欠色（このカードは無色である。）エンチャント（クリーチャー）エンチャントされているクリーチャーではブロックできない。エンチャントされているクリーチャーがダメージを与えるたび、それのコントローラーはその点数に等しいライフを失う。","Devoid （This card has no color.）Enchant creatureEnchanted creature can't block.Whenever enchanted creature deals damage, its controller loses that much life.",-,-,,"Jama Jurabaev","アンコモン, ゲートウォッチの誓い (81/184) ",-
"終末の目撃/Witness the End （しゅうまつのもくげき） ","(３)(黒)","ソーサリー ","欠色（このカードは無色である。）対戦相手１人を対象とする。そのプレイヤーは自分の手札からカードを２枚追放し、２点のライフを失う。","Devoid （This card has no color.）Target opponent exiles two cards from his or her hand and loses 2 life.",-,-,,"Igor Kieryluk","コモン, ゲートウォッチの誓い (82/184) ",-
"屍体の攪拌/Corpse Churn （したいのかくはん） ","(１)(黒)","インスタント ","あなたのライブラリーの一番上から３枚のカードをあなたの墓地に置く。その後、あなたはあなたの墓地からクリーチャー・カード１枚をあなたの手札に戻してもよい。","Put the top three cards of your library into your graveyard, then you may return a creature card from your graveyard to your hand.",-,-,,"Magali Villeneuve","コモン, ゲートウォッチの誓い (83/184) ",-
"ドラーナに選ばれし者/Drana's Chosen （どらーなにえらばれしもの） ","(３)(黒)","クリーチャー — 吸血鬼(Vampire)・シャーマン(Shaman)・同盟者(Ally) ","盟友 ― (Ｔ),あなたがコントロールするアンタップ状態の同盟者(Ally)を１体タップする：黒の2/2のゾンビ(Zombie)・クリーチャー・トークンを１体タップ状態で戦場に出す。","Cohort --- {T}, Tap an untapped Ally you control: Put a 2/2 black Zombie creature token onto the battlefield tapped.",2/2,-,,"Deruchenko Alexander","レア, ゲートウォッチの誓い (84/184) ",-
"闇の掌握/Grasp of Darkness （やみのしょうあく） ","(黒)(黒)","インスタント ","クリーチャー１体を対象とする。ターン終了時まで、それは-4/-4の修整を受ける。","Target creature gets -4/-4 until end of turn.",-,-,,Daarken,"アンコモン, ゲートウォッチの誓い (85/184) ","OGW SOM "
"ゲトの裏切り者、カリタス/Kalitas, Traitor of Ghet （げとのうらぎりものかりたす） ","(２)(黒)(黒)","伝説のクリーチャー — 吸血鬼(Vampire)・戦士(Warrior) ","絆魂対戦相手がコントロールするトークンでないクリーチャーが１体死亡するなら、代わりにそのカードを追放し、黒の2/2のゾンビ(Zombie)・クリーチャー・トークンを１体戦場に出す。(２)(黒),他の吸血鬼(Vampire)かゾンビを１体生け贄に捧げる：ゲトの裏切り者、カリタスの上に+1/+1カウンターを２個置く。","LifelinkIf a nontoken creature an opponent controls would die, instead exile that card and put a 2/2 black Zombie creature token onto the battlefield.{2}{B}, Sacrifice another Vampire or Zombie: Put two +1/+1 counters on Kalitas, Traitor of Ghet.",3/4,-,,"Todd Lockwood","神話レア, ゲートウォッチの誓い (86/184) ",-
"マラキールの占い師/Malakir Soothsayer （まらきーるのうらないし） ","(４)(黒)","クリーチャー — 吸血鬼(Vampire)・シャーマン(Shaman)・同盟者(Ally) ","盟友 ― (Ｔ),あなたがコントロールするアンタップ状態の同盟者(Ally)を１体タップする：あなたはカードを１枚引き、１点のライフを失う。","Cohort --- {T}, Tap an untapped Ally you control: You draw a card and you lose 1 life.",4/4,-,,"Greg Opalinski","アンコモン, ゲートウォッチの誓い (87/184) ",-
"虚身呼び/Null Caller （きょしんよび） ","(３)(黒)","クリーチャー — 吸血鬼(Vampire)・シャーマン(Shaman) ","(３)(黒),あなたの墓地からクリーチャー・カード１枚を追放する：黒の2/2のゾンビ(Zombie)・クリーチャー・トークンを１体タップ状態で戦場に出す。","{3}{B}, Exile a creature card from your graveyard: Put a 2/2 black Zombie creature token onto the battlefield tapped.",2/4,-,,"Darek Zabrocki","アンコモン, ゲートウォッチの誓い (88/184) ",-
"無情な処罰/Remorseless Punishment （むじょうなしょばつ） ","(３)(黒)(黒)","ソーサリー ","対戦相手１人を対象とする。そのプレイヤーは、カードを２枚捨てるか、クリーチャー１体かプレインズウォーカー１体を生け贄に捧げないかぎり、５点のライフを失う。この手順をもう１回繰り返す。","Target opponent loses 5 life unless that player discards two cards or sacrifices a creature or planeswalker. Repeat this process once.",-,-,,"Ryan Barger","レア, ゲートウォッチの誓い (89/184) ",-
"タールの罠/Tar Snare （たーるのわな） ","(２)(黒)","インスタント ","クリーチャー１体を対象とする。ターン終了時まで、それは-3/-2の修整を受ける。","Target creature gets -3/-2 until end of turn.",-,-,,"Karl Kopinski","コモン, ゲートウォッチの誓い (90/184) ",-
"荒々しい渇望/Untamed Hunger （あらあらしいかつぼう） ","(２)(黒)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは、+2/+1の修整を受けるとともに威迫を持つ。（それは２体以上のクリーチャーによってしかブロックされない。）","Enchant creatureEnchanted creature gets +2/+1 and has menace. （It can't be blocked except by two or more creatures.）",-,-,,"Willian Murai","コモン, ゲートウォッチの誓い (91/184) ",-
"吸血鬼の特使/Vampire Envoy （きゅうけつきのとくし） ","(２)(黒)","クリーチャー — 吸血鬼(Vampire)・クレリック(Cleric)・同盟者(Ally) ","飛行吸血鬼の特使がタップ状態になるたび、あなたは１点のライフを得る。","FlyingWhenever Vampire Envoy becomes tapped, you gain 1 life.",1/4,-,,"Johannes Voss","コモン, ゲートウォッチの誓い (92/184) ",-
"ズーラポートの鎖魔道士/Zulaport Chainmage （ずーらぽーとのくさりまどうし） ","(３)(黒)","クリーチャー — 人間(Human)・シャーマン(Shaman)・同盟者(Ally) ","盟友 ― (Ｔ),あなたがコントロールするアンタップ状態の同盟者(Ally)を１体タップする：対戦相手１人を対象とする。そのプレイヤーは２点のライフを失う。","Cohort --- {T}, Tap an untapped Ally you control: Target opponent loses 2 life.",4/2,-,,"Chris Rallis","コモン, ゲートウォッチの誓い (93/184) ",-
